planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
moveit:RRTConnect,empty,15,1,42,True,0.016428659000666812,0.016428659000666812,,19,4.179630575884646,0.7629515339566623,1.5253725331690845e-12,599.9026371388248,inf,True
moveit:RRTConnect,empty,15,2,42,True,0.015571158000966534,0.015571158000966534,,19,4.179630575884646,0.7629515339566623,2.1517798984542036e-13,599.9026371388227,inf,True
moveit:RRTConnect,empty,16,0,42,True,0.030739256995730102,0.030739256995730102,,22,9.641828889267801,3.692391084487675,1.7650490998289385e-13,2127.641690597287,inf,True
moveit:RRTConnect,empty,16,1,42,True,0.023224272998049855,0.023224272998049855,,22,9.641828889267801,3.6923910844876757,1.9699416718903764e-13,2127.641690597413,inf,True
moveit:RRTConnect,empty,16,2,42,True,0.02834805600286927,0.02834805600286927,,22,9.641828889267801,3.6923910844876757,4.30089722947814e-14,2127.641690597408,inf,True
moveit:RRTConnect,empty,17,0,42,True,0.018524465995142236,0.018524465995142236,,24,8.171820298620789,3.476066276169051,1.0590908772917864e-13,1616.592569643479,inf,True
moveit:RRTConnect,empty,17,1,42,True,0.010511706001125276,0.010511706001125276,,24,8.171820298620789,3.47606627616905,1.3746684631002294e-13,1616.5925696434497,inf,True
moveit:RRTConnect,empty,17,2,42,True,0.02034796599764377,0.02034796599764377,,24,8.171820298620787,3.47606627616905,1.4652348517627006e-13,1616.5925696434203,inf,True
moveit:RRTConnect,empty,18,0,42,True,0.01556023900047876,0.01556023900047876,,20,4.421189011961068,0.3524786148740529,8.434227441926074e-12,518.741839291592,inf,True
moveit:RRTConnect,empty,18,1,42,True,0.016446713008917868,0.016446713008917868,,20,4.421189011961069,0.352478614874053,2.518053231168644e-14,518.7418392914806,inf,True
moveit:RRTConnect,empty,18,2,42,True,0.007981782997376285,0.007981782997376285,,20,4.421189011961068,0.352478614874053,1.714105014295336e-11,518.7418392915486,inf,True
moveit:RRTConnect,empty,19,0,42,True,0.017811280995374545,0.017811280995374545,,13,2.514770205443652,0.9574309383018442,1.826754012696138e-13,1724.517998031426,inf,True
moveit:RRTConnect,empty,19,1,42,True,0.008275783999124542,0.008275783999124542,,13,2.5147702054436523,0.9574309383018439,3.78040984957565e-13,1724.5179980314435,inf,True
moveit:RRTConnect,empty,19,2,42,True,0.016884128999663517,0.016884128999663517,,13,2.514770205443652,0.9574309383018442,5.74733214399303e-13,1724.5179980314467,inf,True
moveit:RRTConnect,empty,1,0,42,True,0.02374703300301917,0.02374703300301917,,24,7.346643886291324,2.376646066117171,2.948235069895988e-13,1410.3310531529846,inf,True
moveit:RRTConnect,empty,1,1,42,True,0.009800262996577658,0.009800262996577658,,24,7.346643886291324,2.376646066117171,1.522153918054037e-11,1410.3310531529974,inf,True
moveit:RRTConnect,empty,1,2,42,True,0.013313479998032562,0.013313479998032562,,24,7.346643886291325,2.376646066117171,4.562906541060638e-12,1410.3310531529933,inf,True
moveit:RRTConnect,empty,2,0,42,True,0.02220675400167238,0.02220675400167238,,18,5.292203264374581,2.308542774236325,1.546910033339251e-13,1555.999067774232,inf,True
moveit:RRTConnect,empty,2,1,42,True,0.017858534993138164,0.017858534993138164,,18,5.292203264374581,2.3085427742363254,2.1040812028795977e-13,1555.9990677742328,inf,True
moveit:RRTConnect,empty,2,2,42,True,0.01493027301330585,0.01493027301330585,,18,5.292203264374581,2.308542774236325,1.8089336847114582e-13,1555.9990677742305,inf,True
moveit:RRTConnect,empty,3,0,42,True,0.03554736801015679,0.03554736801015679,,37,12.662532053224377,4.641876618665625,352.5504575736314,20772.59798681392,inf,True
moveit:RRTConnect,empty,3,1,42,True,0.031313867002609186,0.031313867002609186,,35,9.890884796103,1.3791941212431222,139.43096501107433,11762.076146419227,inf,True
moveit:RRTConnect,empty,3,2,42,True,0.02938387100584805,0.02938387100584805,,28,8.096625503124862,1.4563921330966754,55.57557820390846,7434.3547232371875,inf,True
